timestamp,mode,sharpe,max_drawdown,annual_return,turnover,score,benchmark_sharpe,excess_sharpe,dev_sharpe,holdback_sharpe,holdback_excess,holdback_gate_pass,description
2026-04-07 15:38:43,in_sample,1.0723,-0.2118,0.1635,0.47,0.9636,1.1538,-0.0815,,,,,"baseline: 12-1 momentum + SPY 200d regime, equal weight"
2026-04-07 15:39:52,in_sample,0.8221,-0.1837,0.0962,0.4974,0.7234,1.1538,-0.3317,,,,,HYPOTHESIS: 1. CHANGE: risk-adjusted momentum (ret/vol) + top 20%. WHY: Barroso & Santa-Clara 2015 — vol-scaling selects consistent performers.
2026-04-07 15:39:59,in_sample,1.0723,-0.2118,0.1635,0.47,0.9636,1.1538,-0.0815,,,,,revert check
2026-04-07 15:40:42,in_sample,0.9395,-0.2459,0.1765,0.4482,0.7737,1.1538,-0.2143,,,,,HYPOTHESIS: 2. CHANGE: remove SPY 200d regime filter. WHY: eliminates cash drag in sustained bull market.
2026-04-07 15:41:02,in_sample,1.0723,-0.2118,0.1635,0.47,0.9636,1.1538,-0.0815,,,,,revert check
2026-04-07 15:41:33,in_sample,1.0015,-0.2012,0.1108,0.1738,0.9992,1.1538,-0.1523,,,,,HYPOTHESIS: 3. CHANGE: full-universe momentum tilt + regime scaling. WHY: Brandt et al 2009 parametric portfolio tilt beats concentrated selection.
2026-04-07 15:42:53,in_sample,0.9541,-0.2041,0.1112,0.3026,0.9446,1.1538,-0.1997,,,,,"HYPOTHESIS: 3b. CHANGE: TILT 1.0->4.0, stronger momentum overweight. WHY: TILT=1 too mild to generate meaningful excess."
2026-04-07 15:43:17,in_sample,1.0015,-0.2012,0.1108,0.1738,0.9992,1.1538,-0.1523,,,,,revert check
2026-04-07 15:43:57,in_sample,0.9829,-0.2011,0.1133,0.5962,0.8327,1.1538,-0.1709,,,,,HYPOTHESIS: 4. CHANGE: replace momentum tilt with 21-day reversal tilt TILT=2. WHY: Jegadeesh 1990 short-term reversal in liquid names.
2026-04-07 15:44:17,in_sample,1.0015,-0.2012,0.1108,0.1738,0.9992,1.1538,-0.1523,,,,,revert check
2026-04-07 15:44:37,in_sample,1.0817,-0.1867,0.1127,0.1729,1.0817,1.1538,-0.0721,,,,,HYPOTHESIS: 5. CHANGE: inverse-vol weighting replaces momentum tilt. WHY: Baker et al 2011 low-vol anomaly improves Sharpe via reduced variance.
2026-04-07 15:45:06,in_sample,1.0855,-0.1831,0.1597,0.0926,1.0855,1.1538,-0.0683,,,,,"HYPOTHESIS: 5b. CHANGE: remove regime filter, rely on inv-vol defense. WHY: inv-vol is inherently defensive, regime causes cash drag."
2026-04-07 15:45:29,in_sample,0.9694,-0.1917,0.1326,0.1583,0.9694,1.1538,-0.1844,,,,,HYPOTHESIS: 5c. CHANGE: combine inv-vol + momentum tilt (TILT=1.5). WHY: Asness et al quality-momentum composite higher Sharpe than single factor.
2026-04-07 15:45:48,in_sample,1.0855,-0.1831,0.1597,0.0926,1.0855,1.1538,-0.0683,,,,,revert check
2026-04-07 15:46:12,in_sample,1.1123,-0.1407,0.1245,0.1723,1.1123,1.1538,-0.0415,,,,,"HYPOTHESIS: 6. CHANGE: add vol targeting (target_vol=0.12, 21d lookback). WHY: Moreira & Muir 2017 vol-managed portfolios improve Sharpe ~40%."
2026-04-07 15:46:51,in_sample,0.9699,-0.0985,0.0826,0.2102,0.9699,1.1538,-0.1839,,,,,HYPOTHESIS: 6b. CHANGE: TARGET_VOL 0.12->0.08. WHY: more aggressive vol scaling exploits vol clustering better.
